PBANKA	CITH	DOZI	DOZI/CITH
PBANKA_060110	0	1	1
PBANKA_010770	0	1	1
PBANKA_050650	0	1	1
PBANKA_061040	1	0	1
PBANKA_142710	1	0	1
PBANKA_101380	1	0	1
PBANKA_093900	1	0	1
PBANKA_141410	1	0	1
PBANKA_131620	1	0	1
PBANKA_146340	0	1	1
PBANKA_136550	1	0	1
PBANKA_082420	0	1	1
PBANKA_021390	0	1	1
PBANKA_030220	1	0	1
PBANKA_083430	0	1	1
PBANKA_101010	0	1	1
PBANKA_145630	0	1	1
PBANKA_111650	1	0	1
PBANKA_142180	1	0	1
PBANKA_041330	1	0	1
PBANKA_092360	1	0	1
PBANKA_102500	0	1	1
PBANKA_111700	0	1	1
PBANKA_142060	1	0	1
PBANKA_143940	0	1	1
PBANKA_142770	0	1	1
PBANKA_113440	1	0	1
PBANKA_113090	1	0	1
PBANKA_051140	1	0	1
PBANKA_090720	1	0	1
PBANKA_111910	1	0	1
PBANKA_133200	1	0	1
PBANKA_132740	1	0	1
PBANKA_020290	1	0	1
PBANKA_110580	0	1	1
PBANKA_101590	0	1	1
PBANKA_114400	0	1	1
PBANKA_112620	0	1	1
PBANKA_130550	0	1	1
PBANKA_112340	0	1	1
PBANKA_031500	0	1	1
PBANKA_123260	0	1	1
PBANKA_135770	0	1	1
PBANKA_140020	0	1	1
PBANKA_031640	0	1	1
PBANKA_050080	0	1	1
PBANKA_040820	0	1	1
PBANKA_101980	0	1	1
PBANKA_091210	0	1	1
PBANKA_051910	0	1	1
PBANKA_101600	0	1	1
PBANKA_060600	0	1	1
PBANKA_132780	0	1	1
PBANKA_010510	0	1	1
PBANKA_010700	0	1	1
PBANKA_010960	0	1	1
PBANKA_010990	0	1	1
PBANKA_020790	0	1	1
PBANKA_021160	0	1	1
PBANKA_021260	0	1	1
PBANKA_021450	0	1	1
PBANKA_030280	0	1	1
PBANKA_030350	0	1	1
PBANKA_040880	0	1	1
PBANKA_041140	0	1	1
PBANKA_041560	0	1	1
PBANKA_050780	0	1	1
PBANKA_051600	0	1	1
PBANKA_052200	0	1	1
PBANKA_062020	0	1	1
PBANKA_071300	0	1	1
PBANKA_080140	0	1	1
PBANKA_081510	0	1	1
PBANKA_082930	0	1	1
PBANKA_092250	0	1	1
PBANKA_092270	0	1	1
PBANKA_092330	0	1	1
PBANKA_092760	0	1	1
PBANKA_092820	0	1	1
PBANKA_093060	0	1	1
PBANKA_100320	0	1	1
PBANKA_102600	0	1	1
PBANKA_103140	0	1	1
PBANKA_110750	0	1	1
PBANKA_111280	0	1	1
PBANKA_111410	0	1	1
PBANKA_111930	0	1	1
PBANKA_120530	0	1	1
PBANKA_122170	0	1	1
PBANKA_123370	0	1	1
PBANKA_123470	0	1	1
PBANKA_123810	0	1	1
PBANKA_123840	0	1	1
PBANKA_123870	0	1	1
PBANKA_131290	0	1	1
PBANKA_131610	0	1	1
PBANKA_131940	0	1	1
PBANKA_132190	0	1	1
PBANKA_132240	0	1	1
PBANKA_132880	0	1	1
PBANKA_133910	0	1	1
PBANKA_134110	0	1	1
PBANKA_134420	0	1	1
PBANKA_135170	0	1	1
PBANKA_136020	0	1	1
