gene_id	groups	description
PBANKA_0811100	1	helicase SKI2W, putative
PBANKA_0813100	1	conserved Plasmodium protein, unknown function
PBANKA_0816400	1	ATP-dependent 6-phosphofructokinase, putative
PBANKA_0831800	1	elongation factor Tu, putative
PBANKA_0836550	1	PIR protein, pseudogene
PBANKA_0910500	1	conserved protein, unknown function
PBANKA_0914500	1	conserved Plasmodium protein, unknown function
PBANKA_0916500	1	conserved Plasmodium protein, unknown function
PBANKA_0916600	1	oxysterol-binding protein, putative
PBANKA_0917980	1	small nucleolar RNA snoR14a
PBANKA_0918300	1	major facilitator superfamily-related transporter, putative
PBANKA_0919500	1	GPI-anchor transamidase, putative
PBANKA_0925500	1	calcium-dependent protein kinase 6
PBANKA_0925900	1	conserved Plasmodium protein, unknown function
PBANKA_0929600	1	nucleolar protein 56, putative
PBANKA_0929800	1	insulinase, putative
PBANKA_0938050	1	small nucleolar RNA snoR07
PBANKA_0943300	1	actin-like protein, putative
PBANKA_0943541	1	tRNA Leucine
PBANKA_0943561	1	tRNA Glycine
PBANKA_0944041	1	reticulocyte binding protein, putative
PBANKA_1000651	1	tRNA Asparagine
PBANKA_1001500	1	alpha/beta hydrolase, putative
PBANKA_1001800	1	AP2 domain transcription factor AP2-SP2
PBANKA_1004200	1	conserved protein, unknown function
PBANKA_1015600	1	ribosomal protein L15, apicoplast, putative
PBANKA_1015800	1	conserved Plasmodium protein, unknown function
PBANKA_1016200	1	protein kinase, putative
PBANKA_1016800	1	exosome complex component RRP41, putative
PBANKA_1017000	1	CorA-like Mg2+ transporter protein, putative
PBANKA_1017600	1	conserved Plasmodium protein, unknown function
PBANKA_1019380	1	small nucleolar RNA snoR27
PBANKA_1019520	1	small nucleolar RNA snoR26
PBANKA_1021800	1	mitochondrial import inner membrane translocase subunit TIM8, putative
PBANKA_1024500	1	conserved Plasmodium protein, unknown function
PBANKA_1027400	1	RNA-binding protein Nova-1, putative
PBANKA_1031800	1	conserved protein, unknown function
PBANKA_1032700	1	CUGBP Elav-like family member 2, putative
PBANKA_1036700	1	COBW domain-containing protein 1, putative
PBANKA_1039450	1	small nucleolar RNA snoR22
PBANKA_1040581	1	PIR protein
PBANKA_1100750	1	fam-a protein
PBANKA_1107200	1	protein CAF40, putative
PBANKA_1107700	1	SET domain protein, putative
PBANKA_1114051	1	tRNA Phenylalanine
PBANKA_1119921	1	tRNA Alanine
PBANKA_1119941	1	tRNA Leucine
PBANKA_1125200	1	CRAL/TRIO domain-containing protein, putative
PBANKA_1129200	1	conserved Plasmodium protein, unknown function
PBANKA_1138500	1	3'-5' exonuclease, putative
PBANKA_1138800	1	conserved Plasmodium protein, unknown function
PBANKA_1140100	1	nucleoporin NUP205
PBANKA_1140400	1	exosome complex component RRP45, putative
PBANKA_1142500	1	signal recognition particle receptor subunit alpha, putative
PBANKA_1200081	1	PIR protein
PBANKA_1204000	1	conserved Plasmodium protein, unknown function
PBANKA_1205900	1	AP2 domain transcription factor AP2-I, putative
PBANKA_1209500	1	conserved Plasmodium protein, unknown function
PBANKA_1209700	1	protein ARV1, putative
PBANKA_1210100	1	DNA repair protein RAD23, putative
PBANKA_1211100	1	NLI interacting factor-like phosphatase
PBANKA_1212300	1	translation initiation factor eIF-2B subunit delta, putative
PBANKA_1212900	1	conserved Plasmodium protein, unknown function
PBANKA_1216600	1	cyclic amine resistance locus protein, putative
PBANKA_1217400	1	conserved Plasmodium protein, unknown function
PBANKA_1225200	1	N-acetyltransferase, GNAT family, putative
PBANKA_1230700	1	protein phosphatase, putative
PBANKA_1237300	1	magnesium transporter NIPA, putative
PBANKA_1238600	1	divalent metal transporter, putative
PBANKA_1239800	1	zinc finger protein, putative
PBANKA_1240900	1	conserved Plasmodium protein, unknown function
PBANKA_1242700	1	AP-1/2 complex subunit beta, putative
PBANKA_1243600	1	conserved Plasmodium protein, unknown function
PBANKA_1244051	1	tRNA Arginine
PBANKA_1244800	1	conserved Plasmodium protein, unknown function
PBANKA_1306100	1	GTP-binding protein YihA2, putative
PBANKA_1309600	1	conserved Plasmodium protein, unknown function
PBANKA_1317600	1	conserved Plasmodium protein, unknown function
PBANKA_1318000	1	SNF1-related serine/threonine protein kinase KIN
PBANKA_1319200	1	AP-1 complex subunit gamma, putative
PBANKA_1319400	1	conserved Plasmodium protein, unknown function
PBANKA_1323100	1	conserved Plasmodium protein, unknown function
PBANKA_1324200	1	conserved Plasmodium protein, unknown function
PBANKA_1325800	1	conserved Plasmodium protein, unknown function
PBANKA_1331500	1	telomere length and silencing protein 1, putative
PBANKA_1336300	1	GTPase-activating protein, putative
PBANKA_1339200	1	conserved Plasmodium protein, unknown function
PBANKA_1346750	1	small nucleolar RNA snoR18
PBANKA_1350800	1	mitochondrial intermediate peptidase, putative
PBANKA_1351000	1	1-deoxy-D-xylulose 5-phosphate synthase, putative
PBANKA_1352641	1	tRNA Proline
PBANKA_1354000	1	RNA lariat debranching enzyme, putative
PBANKA_1354351	1	tRNA Arginine
PBANKA_1354550	1	small nucleolar RNA snoR20
PBANKA_1363300	1	conserved Plasmodium protein, unknown function
PBANKA_1364250	1	small nucleolar RNA snoR21
PBANKA_1364800	1	ABC transporter B family member 6, putative
PBANKA_1365721	1	conserved rodent malaria protein, unknown function
PBANKA_1400051	1	PIR protein
PBANKA_1400071	1	PIR protein
PBANKA_1402000	1	sodium/hydrogen exchanger, putative
PBANKA_1402100	1	conserved Plasmodium protein, unknown function
PBANKA_1410400	1	V-type proton ATPase catalytic subunit A, putative
PBANKA_1410500	1	malonyl CoA-acyl carrier protein transacylase, putative
