gene_id	groups	description
PBANKA_0216741	3	lysophospholipase, putative, pseudogene
PBANKA_0301700	3	5'-3' exonuclease, putative
PBANKA_0302000	3	conserved Plasmodium protein, unknown function
PBANKA_0302600	3	3'-5' exonuclease, putative
PBANKA_0304600	3	iron-sulfur assembly protein, putative
PBANKA_0305900	3	conserved Plasmodium protein, unknown function
PBANKA_0306900	3	Sec61-gamma subunit of protein translocation complex, putative
PBANKA_0307600	3	syntaxin, putative
PBANKA_0307800	3	conserved Plasmodium protein, unknown function
PBANKA_0309700	3	multidrug efflux pump, putative
PBANKA_0309900	3	conserved protein, unknown function
PBANKA_0310100	3	conserved protein, unknown function
PBANKA_0310300	3	protein kinase 7
PBANKA_0310700	3	conserved protein, unknown function
PBANKA_0311300	3	conserved Plasmodium protein, unknown function
PBANKA_0311400	3	serine/threonine protein kinase STK2
PBANKA_0312700	3	DEAD/DEAH box helicase, putative
PBANKA_0314800	3	conserved protein, unknown function
PBANKA_0316400	3	PIR protein, pseudogene
PBANKA_0405700	3	ATP-dependent Clp protease proteolytic subunit, putative
PBANKA_0406800	3	pre-mRNA-processing factor 19, putative
PBANKA_0407200	3	dual specificity protein phosphatase
PBANKA_0408700	3	trafficking protein particle complex subunit 4, putative
PBANKA_0409500	3	conserved protein, unknown function
PBANKA_0409800	3	ATP synthase F0 subunit d-like protein, putative
PBANKA_0410700	3	conserved Plasmodium protein, unknown function
PBANKA_0411500	3	conserved Plasmodium protein, unknown function
PBANKA_0411900	3	conserved Plasmodium protein, unknown function
PBANKA_0412700	3	zinc finger protein, putative
PBANKA_0413500	3	conserved Plasmodium protein, unknown function
PBANKA_0414900	3	dynein intermediate light chain, putative
PBANKA_0415300	3	exoribonuclease II, putative
PBANKA_0415500	3	coatomer subunit beta, putative
PBANKA_0417000	3	signal peptidase complex subunit 3, putative
PBANKA_0418100	3	conserved protein, unknown function
PBANKA_0418400	3	conserved protein, unknown function
PBANKA_0500971	3	PIR protein
PBANKA_0501500	3	enoyl-CoA hydratase-related protein, putative
PBANKA_0502000	3	conserved Plasmodium protein, unknown function
PBANKA_0502100	3	conserved Plasmodium protein, unknown function
PBANKA_0502650	3	conserved Plasmodium protein, unknown function
PBANKA_0502700	3	pre-mRNA-splicing factor RDS3, putative
PBANKA_0502800	3	tRNA wybutosine-synthesizing protein, putative
PBANKA_0503100	3	conserved Plasmodium protein, unknown function
PBANKA_0503800	3	conserved Plasmodium protein, unknown function
PBANKA_0503900	3	conserved Plasmodium protein, unknown function
PBANKA_0504400	3	conserved Plasmodium protein, unknown function
PBANKA_0505900	3	conserved Plasmodium protein, unknown function
PBANKA_0506500	3	ZIP domain-containing protein
PBANKA_0506800	3	kelch protein K10, putative
PBANKA_0506900	3	phospholipid scramblase, putative
PBANKA_0507500	3	conserved protein, unknown function
PBANKA_0509800	3	cytochrome c oxidase copper chaperone, putative
PBANKA_0511700	3	meiotic recombination protein SPO11-2, putative
PBANKA_0512500	3	ribosome biogenesis protein RPF2, putative
PBANKA_0513600	3	adenosine deaminase, putative
PBANKA_0513900	3	conserved Plasmodium protein, unknown function
PBANKA_0514300	3	conserved Plasmodium protein, unknown function
PBANKA_0514800	3	calmodulin, putative
PBANKA_0515700	3	conserved Plasmodium protein, unknown function
PBANKA_0516400	3	conserved protein, unknown function
PBANKA_0518300	3	conserved Plasmodium protein, unknown function
PBANKA_0518600	3	conserved protein, unknown function
PBANKA_0520100	3	conserved Plasmodium protein, unknown function
PBANKA_0520600	3	enhancer of rudimentary homolog, putative
PBANKA_0521100	3	conserved Plasmodium protein, unknown function
PBANKA_0521500	3	conserved Plasmodium protein, unknown function
PBANKA_0521600	3	holo-[acyl-carrier-protein] synthase, putative
PBANKA_0522200	3	conserved Plasmodium protein, unknown function
PBANKA_0602400	3	major facilitator superfamily domain-containing protein, putative
PBANKA_0603300	3	sexual stage-specific protein G37
PBANKA_0604600	3	conserved protein, unknown function
PBANKA_0606100	3	tRNA dimethylallyltransferase, putative
PBANKA_0606400	3	conserved Plasmodium protein, unknown function
PBANKA_0606600	3	conserved Plasmodium protein, unknown function
PBANKA_0606900	3	amino acid transporter, putative
PBANKA_0607700	3	telomere repeat-binding zinc finger protein, putative
PBANKA_0608500	3	SNARE protein, putative
PBANKA_0608600	3	zinc finger protein, putative
PBANKA_0608900	3	general transcription factor 3C polypeptide 5, putative
PBANKA_0609000	3	conserved Plasmodium protein, unknown function
PBANKA_0609300	3	GPI mannosyltransferase 1, putative
PBANKA_0609700	3	conserved Plasmodium protein, unknown function
PBANKA_0609800	3	DNA helicase MCM8, putative
PBANKA_0610500	3	glutathione peroxidase-like thioredoxin peroxidase
PBANKA_0611300	3	conserved Plasmodium protein, unknown function
PBANKA_0611900	3	histidine triad protein, putative
PBANKA_0612400	3	conserved Plasmodium protein, unknown function
PBANKA_0612700	3	conserved Plasmodium protein, unknown function
PBANKA_0616300	3	conserved Plasmodium protein, unknown function
PBANKA_0617400	3	conserved Plasmodium protein, unknown function
PBANKA_0618000	3	conserved Plasmodium protein, unknown function
PBANKA_0619500	3	conserved Plasmodium protein, unknown function
PBANKA_0700081	3	PIR protein
PBANKA_0701200	3	conserved Plasmodium protein, unknown function
PBANKA_0702900	3	SET domain protein, putative
PBANKA_0703500	3	conserved Plasmodium protein, unknown function
PBANKA_0704300	3	SPRY domain, putative
PBANKA_0704400	3	alpha/beta hydrolase, putative
PBANKA_0704500	3	HECT-like E3 ubiquitin ligase, putative
PBANKA_0705600	3	conserved Plasmodium protein, unknown function
PBANKA_0706300	3	GTP-binding protein Obg2, putative
PBANKA_0708400	3	small nuclear ribonucleoprotein G, putative
PBANKA_0709100	3	60S ribosomal protein L22, putative
PBANKA_0712900	3	high mobility group protein B2
PBANKA_0713600	3	conserved protein, unknown function
PBANKA_0714100	3	trafficking protein particle complex subunit 2-like protein, putative
PBANKA_0714600	3	vacuolar protein sorting-associated protein 2, putative
PBANKA_0716100	3	conserved Plasmodium protein, unknown function
PBANKA_0716200	3	calmodulin-like protein, putative
PBANKA_0717000	3	arsenical pump-driving ATPase, putative
PBANKA_0718500	3	repressor of RNA polymerase III transcription MAF1, putative
PBANKA_0718600	3	prohibitin-like protein PHBL
PBANKA_0719100	3	conserved Plasmodium protein, unknown function
PBANKA_0719800	3	conserved Plasmodium protein, unknown function
PBANKA_0719900	3	cdc2-related protein kinase 1
PBANKA_0721200	3	conserved Plasmodium protein, unknown function
PBANKA_0721500	3	conserved Plasmodium protein, unknown function
PBANKA_0800041	3	fam-a protein, pseudogene
PBANKA_0800700	3	conserved Plasmodium protein, unknown function
PBANKA_0800900	3	conserved Plasmodium protein, unknown function
PBANKA_0802500	3	protein phosphatase PPM12, putative
PBANKA_0802600	3	peptide chain release factor 2, putative
PBANKA_0802900	3	conserved Plasmodium protein, unknown function
PBANKA_0803200	3	inositol-phosphate phosphatase, putative
PBANKA_0803700	3	conserved Plasmodium protein, unknown function
PBANKA_0804700	3	conserved Plasmodium protein, unknown function
PBANKA_0806700	3	conserved Plasmodium protein, unknown function
PBANKA_0807200	3	conserved Plasmodium protein, unknown function
PBANKA_0807400	3	26S proteasome non-ATPase regulatory subunit 9, putative
PBANKA_0808700	3	GTPase-activating protein, putative
PBANKA_0808900	3	ATP-dependent protease ATPase subunit ClpY, putative
PBANKA_0810000	3	mitochondrial carrier protein, putative
PBANKA_0812200	3	conserved protein, unknown function
PBANKA_0812600	3	conserved Plasmodium protein, unknown function
PBANKA_0812900	3	conserved Plasmodium protein, unknown function
PBANKA_0813300	3	conserved protein, unknown function
PBANKA_0813800	3	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative
PBANKA_0814100	3	heptatricopeptide repeat-containing protein, putative
PBANKA_0814600	3	conserved Plasmodium protein, unknown function
PBANKA_0815400	3	protein KIC3, putative
PBANKA_0815700	3	major facilitator superfamily-related transporter, putative
PBANKA_0815900	3	BSD-domain protein, putative
PBANKA_0816300	3	heptatricopeptide repeat-containing protein, putative
PBANKA_0818300	3	conserved protein, unknown function
PBANKA_0818800	3	conserved Plasmodium protein, unknown function
PBANKA_0820100	3	PPPDE peptidase, putative
PBANKA_0821100	3	CS domain protein, putative
PBANKA_0821200	3	conserved Plasmodium protein, unknown function
PBANKA_0821600	3	CRAL/TRIO domain-containing protein, putative
PBANKA_0822200	3	conserved protein, unknown function
PBANKA_0823100	3	S-adenosylmethionine synthetase, putative
PBANKA_0824300	3	conserved Plasmodium protein, unknown function
PBANKA_0825500	3	conserved Plasmodium protein, unknown function
PBANKA_0825900	3	conserved Plasmodium protein, unknown function
PBANKA_0826900	3	protein kinase, putative
PBANKA_0828100	3	fumarate hydratase, putative
PBANKA_0828400	3	RNA-binding protein, putative
PBANKA_0828500	3	serine/threonine protein phosphatase 4
PBANKA_0831400	3	conserved Plasmodium protein, unknown function
PBANKA_0831500	3	conserved Plasmodium protein, unknown function
PBANKA_0832300	3	conserved Plasmodium protein, unknown function
PBANKA_0834100	3	conserved Plasmodium protein, unknown function
PBANKA_0835400	3	conserved Plasmodium protein, unknown function
PBANKA_0835500	3	UBX domain-containing protein, putative
PBANKA_0836100	3	phosphatidylinositol N-acetylglucosaminyltransferase subunit P, putative
PBANKA_0836500	3	conserved rodent malaria protein, unknown function
PBANKA_0836700	3	fam-a protein
PBANKA_0836800	3	erythrocyte membrane associated protein 1
PBANKA_0901600	3	protein farnesyltransferase subunit beta, putative
PBANKA_0901900	3	tubulin--tyrosine ligase, putative
PBANKA_0902300	3	conserved Plasmodium protein, unknown function
PBANKA_0902900	3	conserved protein, unknown function
PBANKA_0903000	3	ribosome assembly protein 4, putative
PBANKA_0903200	3	conserved Plasmodium protein, unknown function
PBANKA_0904200	3	conserved Plasmodium protein, unknown function
PBANKA_0904300	3	apicoplast import protein Tic20, putative
PBANKA_0905300	3	conserved Plasmodium protein, unknown function
PBANKA_0905700	3	DNA-directed RNA polymerases I and III subunit RPAC1, putative
PBANKA_0905900	3	AP2 domain transcription factor AP2-O
PBANKA_0906500	3	60S ribosomal protein L28, putative
PBANKA_0907000	3	heptatricopeptide repeat-containing protein, putative
PBANKA_0907100	3	inner membrane complex protein 1b
PBANKA_0908000	3	conserved Plasmodium protein, unknown function
PBANKA_0908100	3	conserved Plasmodium protein, unknown function
PBANKA_0909100	3	ER membrane protein complex subunit 8, putative
PBANKA_0909300	3	adrenodoxin reductase, putative
PBANKA_0909600	3	AP2 domain transcription factor, putative
PBANKA_0909900	3	WD repeat-containing protein, putative
PBANKA_0910400	3	conserved protein, unknown function
PBANKA_0913500	3	PQ-loop repeat-containing protein
PBANKA_0914100	3	conserved Plasmodium protein, unknown function
PBANKA_0914800	3	conserved Plasmodium protein, unknown function
PBANKA_0915400	3	conserved Plasmodium protein, unknown function
PBANKA_0917500	3	structural maintenance of chromosomes protein 1, putative
PBANKA_0918700	3	A/G-specific adenine glycosylase, putative
PBANKA_0918900	3	conserved Plasmodium protein, unknown function
PBANKA_0919000	3	26S proteasome regulatory subunit RPN7, putative
PBANKA_0919100	3	parasitophorous vacuolar protein 1
PBANKA_0919200	3	fam-d protein
PBANKA_0919600	3	CCR4-NOT transcription complex subunit 2, putative
PBANKA_0921000	3	conserved Plasmodium protein, unknown function
PBANKA_0921100	3	tRNA (guanine-N(7)-)-methyltransferase, putative
PBANKA_0922300	3	threonine--tRNA ligase, putative
PBANKA_0926100	3	JmjC domain-containing protein, putative
PBANKA_0926200	3	GPI transamidase component GPI16
PBANKA_0926500	3	peptidase M16, putative
PBANKA_0926600	3	protein GCN20, putative
PBANKA_0927200	3	conserved protein, unknown function
PBANKA_0927300	3	palmitoyltransferase DHHC3
PBANKA_0927800	3	tRNA nucleotidyltransferase, putative
PBANKA_0927900	3	CorA-like Mg2+ transporter protein, putative
PBANKA_0930100	3	conserved Plasmodium protein, unknown function
PBANKA_0931500	3	folate transporter 2, putative
PBANKA_0931600	3	guanine nucleotide-exchange factor SEC12, putative
PBANKA_0931800	3	pyridoxine biosynthesis protein PDX2, putative
PBANKA_0932300	3	AP2 domain transcription factor, putative
PBANKA_0934000	3	conserved Plasmodium protein, unknown function
PBANKA_0934800	3	conserved protein, unknown function
PBANKA_0935700	3	Josephin domain-containing protein, putative
PBANKA_0935800	3	peptidyl-prolyl cis-trans isomerase, putative
PBANKA_0936100	3	acylphosphatase, putative
PBANKA_0938100	3	tetratricopeptide repeat protein, putative
PBANKA_0938200	3	conserved Plasmodium protein, unknown function
PBANKA_0939000	3	mechanosensitive ion channel protein, putative
PBANKA_0940200	3	DNA replication ATP-dependent helicase/nuclease DNA2, putative
PBANKA_0942900	3	phenylalanine--tRNA ligase beta subunit, putative
PBANKA_0943100	3	CCR4-NOT transcription complex subunit 1, putative
PBANKA_0943700	3	fam-b protein
PBANKA_0944101	3	PIR protein
PBANKA_1001000	3	conserved Plasmodium protein, unknown function
PBANKA_1001600	3	SET domain protein, putative
PBANKA_1001900	3	conserved Plasmodium protein, unknown function
PBANKA_1002100	3	6-cysteine protein P36
PBANKA_1003200	3	conserved Plasmodium protein, unknown function
PBANKA_1003300	3	TMEM33 domain-containing protein, putative
PBANKA_1005600	3	conserved Plasmodium protein, unknown function
PBANKA_1006000	3	conserved protein, unknown function
PBANKA_1006900	3	methyltransferase, putative
PBANKA_1008100	3	ribosome biogenesis GTPase A, putative
PBANKA_1008400	3	conserved Plasmodium protein, unknown function
PBANKA_1010500	3	Hsp70/Hsp90 organizing protein, putative
PBANKA_1010700	3	queuine tRNA-ribosyltransferase, putative
PBANKA_1012300	3	conserved Plasmodium protein, unknown function
PBANKA_1014200	3	conserved Plasmodium protein, unknown function
PBANKA_1014800	3	ADP-dependent DNA helicase RecQ, putative
PBANKA_1015100	3	conserved Plasmodium protein, unknown function
PBANKA_1016000	3	heme/steroid binding domain containing protein, putative
PBANKA_1016400	3	major facilitator superfamily domain-containing protein, putative
PBANKA_1017500	3	lipase, putative
PBANKA_1017800	3	conserved Plasmodium protein, unknown function
PBANKA_1018100	3	ABC transporter G family member 2, putative
PBANKA_1019540	3	small nucleolar RNA snoR25
PBANKA_1019560	3	small nucleolar RNA snoR24
PBANKA_1019800	3	calcium-dependent protein kinase, putative
PBANKA_1022200	3	DIX domain-containing protein, putative
PBANKA_1023000	3	myosin-specific chaperone UNC, putative
PBANKA_1023300	3	YTH domain-containing protein 1, putative
PBANKA_1023800	3	conserved Plasmodium protein, unknown function
PBANKA_1025400	3	cysteine protease ATG4, putative
PBANKA_1025500	3	NOT family protein, putative
PBANKA_1026100	3	conserved Plasmodium protein, unknown function
PBANKA_1027000	3	serine palmitoyltransferase, putative
PBANKA_1027100	3	conserved Plasmodium protein, unknown function
PBANKA_1029800	3	glycylpeptide N-tetradecanoyltransferase, putative
PBANKA_1031400	3	conserved Plasmodium protein, unknown function
PBANKA_1031500	3	conserved Plasmodium protein, unknown function
PBANKA_1033800	3	conserved protein, unknown function
PBANKA_1034700	3	multifunctional methyltransferase subunit TRM112, putative
PBANKA_1036100	3	tubby domain-containing protein, putative
PBANKA_1036600	3	ribonucleoside-diphosphate reductase small chain, putative
PBANKA_1036800	3	DNA mismatch repair protein, putative
PBANKA_1040100	3	choline kinase
PBANKA_1040151	3	fam-a protein, pseudogene
PBANKA_1100441	3	fam-b protein
PBANKA_1100821	3	fam-a protein, pseudogene
PBANKA_1101400	3	rhoptry-associated protein 2/3
PBANKA_1101700	3	conserved protein, unknown function
PBANKA_1101900	3	HCNGP-like protein, putative
PBANKA_1102800	3	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative
PBANKA_1103700	3	AN1-type zinc finger protein, putative
PBANKA_1104100	3	MOLO1 domain-containing protein, putative
PBANKA_1104400	3	conserved Plasmodium protein, unknown function
PBANKA_1105700	3	60S ribosomal subunit protein L24, putative
PBANKA_1108600	3	alpha-soluble NSF attachment protein, putative
PBANKA_1109000	3	RNA polymerase I, putative
PBANKA_1109200	3	asparagine--tRNA ligase, putative
PBANKA_1109700	3	conserved protein, unknown function
PBANKA_1110600	3	conserved Plasmodium protein, unknown function
PBANKA_1111300	3	EKC/KEOPS complex subunit CGI121, putative
PBANKA_1111500	3	conserved Plasmodium protein, unknown function
PBANKA_1112400	3	orotate phosphoribosyltransferase, putative
PBANKA_1112700	3	conserved protein, unknown function
PBANKA_1113200	3	mitochondrial import inner membrane translocase subunit TIM16, putative
PBANKA_1113500	3	ras-related protein Rab-1A, putative
PBANKA_1113600	3	conserved protein, unknown function
PBANKA_1114000	3	aspartate--tRNA ligase, putative
PBANKA_1114100	3	conserved Plasmodium protein, unknown function
PBANKA_1114200	3	ribose-5-phosphate isomerase, putative
PBANKA_1114800	3	conserved Plasmodium protein, unknown function
PBANKA_1115000	3	conserved protein, unknown function
PBANKA_1115300	3	glideosome-associated protein 40, putative
PBANKA_1115400	3	BolA-like protein, putative
PBANKA_1118100	3	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1, putative
PBANKA_1121000	3	conserved Plasmodium protein, unknown function
PBANKA_1121200	3	vacuolar transporter chaperone, putative
PBANKA_1123000	3	conserved protein, unknown function
PBANKA_1123200	3	CPW-WPC family protein
PBANKA_1124000	3	sphingomyelin synthase 2, putative
PBANKA_1125400	3	conserved Plasmodium protein, unknown function
PBANKA_1125500	3	ATPase, putative
PBANKA_1125700	3	ribosomal protein L46, mitochondrial, putative
PBANKA_1126700	3	6-pyruvoyltetrahydropterin synthase, putative
PBANKA_1127200	3	conserved Plasmodium protein, unknown function
PBANKA_1127300	3	DNA methyltransferase 1-associated protein 1, putative
PBANKA_1128300	3	amino acid transporter AAT1, putative
PBANKA_1129800	3	tetratricopeptide repeat protein, putative
PBANKA_1129900	3	conserved Plasmodium protein, unknown function
PBANKA_1130200	3	ER lumen protein retaining receptor, putative
PBANKA_1130600	3	conserved Plasmodium protein, unknown function
PBANKA_1130900	3	large subunit rRNA methyltransferase, putative
PBANKA_1131400	3	metacaspase-1
PBANKA_1134300	3	patatin-like phospholipase, putative
PBANKA_1134700	3	conserved Plasmodium protein, unknown function
PBANKA_1134800	3	zinc finger protein, putative
PBANKA_1134900	3	zinc finger protein, putative
PBANKA_1135900	3	conserved Plasmodium protein, unknown function
PBANKA_1137400	3	conserved Plasmodium protein, unknown function
PBANKA_1138600	3	conserved protein, unknown function
PBANKA_1138900	3	conserved Plasmodium protein, unknown function
PBANKA_1139300	3	50S ribosomal protein L9, mitochondrial, putative
PBANKA_1139400	3	polyubiquitin binding protein, putative
PBANKA_1139500	3	CCR4 domain-containing protein 2, putative
PBANKA_1140500	3	aldehyde reductase, putative
PBANKA_1142000	3	conserved protein, unknown function
PBANKA_1142100	3	conserved Plasmodium protein, unknown function
PBANKA_1142600	3	conserved Plasmodium protein, unknown function
PBANKA_1143200	3	conserved Plasmodium protein, unknown function
PBANKA_1143400	3	NADH-cytochrome b5 reductase, putative
PBANKA_1143500	3	ribosome biogenesis protein MRT4, putative
PBANKA_1144200	3	conserved Plasmodium protein, unknown function
PBANKA_1144300	3	ribosomal protein L1, putative
PBANKA_1144400	3	heptatricopeptide repeat-containing protein, putative
PBANKA_1145300	3	conserved Plasmodium protein, unknown function
PBANKA_1145500	3	conserved protein, unknown function
PBANKA_1146600	3	fam-b protein
PBANKA_1146721	3	PIR protein
PBANKA_1146781	3	fam-b protein
PBANKA_1201000	3	conserved Plasmodium protein, unknown function
PBANKA_1201100	3	conserved Plasmodium protein, unknown function
PBANKA_1201800	3	conserved Plasmodium protein, unknown function
PBANKA_1202500	3	WD repeat-containing protein, putative
PBANKA_1202600	3	E3 ubiquitin-protein ligase, putative
PBANKA_1202800	3	conserved Plasmodium protein, unknown function
PBANKA_1204800	3	phosducin-like protein 3
PBANKA_1205200	3	transmembrane protein 147, putative
PBANKA_1205700	3	conserved Plasmodium protein, unknown function
PBANKA_1206300	3	PHD finger protein PHD1, putative
PBANKA_1206500	3	AP-5 complex subunit sigma-1, putative
PBANKA_1207100	3	Plasmodium exported protein, unknown function
PBANKA_1207300	3	diphthine methyl ester synthase, putative
PBANKA_1207800	3	metalloprotease, putative
PBANKA_1208500	3	PI31 domain-containing protein, putative
PBANKA_1208700	3	succinate dehydrogenase subunit 4, putative
PBANKA_1209400	3	inner membrane complex sub-compartment protein 1
PBANKA_1210200	3	PRE-binding protein, putative
PBANKA_1210300	3	heme oxygenase, putative
PBANKA_1210600	3	rhoptry associated adhesin, putative
PBANKA_1212500	3	merozoite surface protein MSA180, putative
PBANKA_1213500	3	CWC16 domain-containing protein, putative
PBANKA_1213900	3	nucleotidyltransferase, putative
PBANKA_1214400	3	conserved Plasmodium protein, unknown function
PBANKA_1214600	3	Rab3 GTPase-activating protein non-catalytic subunit, putative
PBANKA_1214900	3	BSD domain-containing protein, putative
PBANKA_1215200	3	conserved protein, unknown function
PBANKA_1215400	3	conserved Plasmodium protein, unknown function
PBANKA_1215800	3	conserved Plasmodium protein, unknown function
PBANKA_1217200	3	conserved Plasmodium protein, unknown function
PBANKA_1217900	3	conserved protein, unknown function
PBANKA_1218000	3	nicotinamidase, putative
PBANKA_1219400	3	protein SCO1, putative
PBANKA_1219800	3	Cg2 protein, putative
PBANKA_1220900	3	conserved protein, unknown function
PBANKA_1221800	3	conserved Plasmodium protein, unknown function
PBANKA_1222000	3	histone deacetylase complex subunit SAP18, putative
PBANKA_1224100	3	kinesin-like protein, putative
PBANKA_1224500	3	Dpy-19-like C-mannosyltransferase, putative
PBANKA_1225100	3	conserved Plasmodium protein, unknown function
PBANKA_1225300	3	conserved Plasmodium protein, unknown function
PBANKA_1225900	3	conserved Plasmodium protein, unknown function
PBANKA_1227000	3	filament assembling protein, putative
PBANKA_1227700	3	inositol 5-phosphatase, putative
PBANKA_1228500	3	sentrin-specific protease 2, putative
PBANKA_1229900	3	conserved protein, unknown function
PBANKA_1231300	3	major facilitator superfamily domain-containing protein, putative
PBANKA_1231400	3	sporozoite surface antigen MB2, putative
PBANKA_1233000	3	SWIB/MDM2 domain-containing protein, putative
PBANKA_1233200	3	cyclin
PBANKA_1235500	3	conserved protein, unknown function
PBANKA_1236200	3	conserved Plasmodium protein, unknown function
PBANKA_1237600	3	zinc finger protein, putative
PBANKA_1238300	3	dynein light chain Tctex-type, putative
PBANKA_1239000	3	conserved Plasmodium membrane protein, unknown function
PBANKA_1240000	3	structural maintenance of chromosomes protein 6, putative
PBANKA_1240100	3	conserved protein, unknown function
PBANKA_1241100	3	WD repeat-containing protein 55, putative
PBANKA_1244900	3	conserved Plasmodium protein, unknown function
PBANKA_1245100	3	conserved Plasmodium protein, unknown function
PBANKA_1245500	3	conserved Plasmodium protein, unknown function
PBANKA_1246200	3	fam-b protein
PBANKA_1246981	3	PIR protein, pseudogene
PBANKA_1300096	3	fam-b protein
PBANKA_1301100	3	conserved Plasmodium protein, unknown function
PBANKA_1301200	3	mediator of RNA polymerase II transcription subunit 31, putative
PBANKA_1303200	3	Sad1/UNC domain-containing protein, putative
PBANKA_1304200	3	stromal-processing peptidase, putative
PBANKA_1304600	3	AP-3 complex subunit mu, putative
PBANKA_1305400	3	conserved Plasmodium protein, unknown function
PBANKA_1305800	3	RNA polymerase II transcription factor B subunit 5, putative
PBANKA_1306600	3	conserved Plasmodium protein, unknown function
PBANKA_1307400	3	poly(A)-specific ribonuclease PARN, putative
PBANKA_1308400	3	eukaryotic translation initiation factor 2-alpha kinase 1, putative
PBANKA_1309100	3	ribosomal protein S29, mitochondrial, putative
PBANKA_1310200	3	nucleoporin NUP313
PBANKA_1310500	3	conserved Plasmodium protein, unknown function
PBANKA_1310700	3	glutaminyl-peptide cyclotransferase, putative
PBANKA_1312200	3	ubiquitin-protein ligase, putative
PBANKA_1312600	3	conserved protein, unknown function
PBANKA_1312900	3	conserved Plasmodium protein, unknown function
PBANKA_1313100	3	crossover junction endonuclease MUS81, putative
PBANKA_1313500	3	conserved protein, unknown function
PBANKA_1314000	3	NADPH--cytochrome P450 reductase, putative
PBANKA_1314100	3	E3 ubiquitin-protein ligase ZNF598, putative
PBANKA_1314700	3	conserved Plasmodium protein, unknown function
PBANKA_1315200	3	pre-mRNA-splicing factor CWF18, putative
PBANKA_1315900	3	aminomethyltransferase, putative
PBANKA_1316100	3	conserved Plasmodium protein, unknown function
PBANKA_1316300	3	conserved Plasmodium protein, unknown function
PBANKA_1316600	3	conserved protein, unknown function
PBANKA_1316900	3	conserved Plasmodium protein, unknown function
PBANKA_1317000	3	Yos1-like protein, putative
PBANKA_1318300	3	ribosomal protein S11, mitochondrial, putative
PBANKA_1318500	3	conserved Plasmodium protein, unknown function
PBANKA_1318800	3	protein tyrosine phosphatase
PBANKA_1319800	3	serine hydroxymethyltransferase, putative
PBANKA_1321600	3	conserved Plasmodium protein, unknown function
PBANKA_1322300	3	zinc finger protein, putative
PBANKA_1322600	3	golgi apparatus membrane protein TVP23, putative
PBANKA_1323400	3	bax inhibitor 1, putative
PBANKA_1323800	3	kelch domain-containing protein, putative
PBANKA_1324700	3	conserved Plasmodium protein, unknown function
PBANKA_1324800	3	conserved Plasmodium protein, unknown function
PBANKA_1325400	3	conserved Plasmodium protein, unknown function
PBANKA_1326600	3	mediator of RNA polymerase II transcription subunit 20, putative
PBANKA_1326700	3	conserved Plasmodium protein, unknown function
PBANKA_1327200	3	ribosomal protein S6, mitochondrial, putative
PBANKA_1327900	3	conserved Plasmodium protein, unknown function
PBANKA_1329100	3	plasmepsin VIII
PBANKA_1329400	3	conserved protein, unknown function
PBANKA_1329900	3	conserved Plasmodium protein, unknown function
PBANKA_1330300	3	conserved Plasmodium protein, unknown function
PBANKA_1332400	3	shewanella-like protein phosphatase 1
PBANKA_1332800	3	acetyl-CoA carboxylase
PBANKA_1333200	3	autophagy-related protein 12, putative
PBANKA_1333900	3	conserved Plasmodium protein, unknown function
PBANKA_1334500	3	RAP protein, putative
PBANKA_1336100	3	dihydroorotase, putative
PBANKA_1336200	3	conserved Plasmodium protein, unknown function
PBANKA_1338500	3	N-acetyltransferase, GNAT family, putative
PBANKA_1339800	3	conserved Plasmodium protein, unknown function
PBANKA_1340600	3	conserved Plasmodium protein, unknown function
PBANKA_1341000	3	conserved Plasmodium protein, unknown function
PBANKA_1342300	3	conserved protein, unknown function
PBANKA_1342900	3	regulator of nonsense transcripts 3B, putative
PBANKA_1343700	3	conserved Plasmodium protein, unknown function
PBANKA_1344100	3	myosin F
PBANKA_1346300	3	CPW-WPC family protein
PBANKA_1346400	3	conserved Plasmodium protein, unknown function
PBANKA_1348100	3	AMMECR1 domain-containing protein, putative
PBANKA_1351200	3	zinc finger protein, putative
PBANKA_1351700	3	LMBR1 domain-containing protein, putative
PBANKA_1353500	3	exosome complex component RRP42, putative
PBANKA_1356100	3	conserved Plasmodium protein, unknown function
PBANKA_1356500	3	conserved protein, unknown function
PBANKA_1356800	3	conserved Plasmodium protein, unknown function
PBANKA_1357200	3	endoplasmic reticulum chaperone GRP170, putative
PBANKA_1359300	3	VPS13 domain-containing protein, putative
PBANKA_1360000	3	DNA topoisomerase 3, putative
PBANKA_1360700	3	conserved Plasmodium protein, unknown function
PBANKA_1361100	3	elongation factor Tu, putative
PBANKA_1362100	3	tyrosine kinase-like protein, putative
PBANKA_1362800	3	conserved Plasmodium protein, unknown function
PBANKA_1363500	3	N6-adenine-specific methylase, putative
PBANKA_1363600	3	conserved Plasmodium protein, unknown function
PBANKA_1400041	3	fam-b protein
PBANKA_1401200	3	ATP-dependent RNA helicase DHR1, putative
PBANKA_1402300	3	conserved Plasmodium protein, unknown function
PBANKA_1403500	3	MCL1 domain-containing protein, putative
PBANKA_1403600	3	protein AMR3, putative
PBANKA_1403700	3	AP2 domain transcription factor, putative
PBANKA_1403800	3	translational activator GCN1, putative
PBANKA_1404000	3	mitogen-activated protein kinase phosphatase 1, putative
