Geneid	groups	description
PBANKA_0502700	1	pre-mRNA-splicing factor RDS3, putative
PBANKA_0502800	1	tRNA wybutosine-synthesizing protein, putative
PBANKA_0503100	1	conserved Plasmodium protein, unknown function
PBANKA_0503800	1	conserved Plasmodium protein, unknown function
PBANKA_0503900	1	conserved Plasmodium protein, unknown function
PBANKA_0504400	1	conserved Plasmodium protein, unknown function
PBANKA_0505900	1	conserved Plasmodium protein, unknown function
PBANKA_0506500	1	ZIP domain-containing protein
PBANKA_0506800	1	kelch protein K10, putative
PBANKA_0506900	1	phospholipid scramblase, putative
PBANKA_0507500	1	conserved protein, unknown function
PBANKA_0509800	1	cytochrome c oxidase copper chaperone, putative
PBANKA_0511700	1	meiotic recombination protein SPO11-2, putative
PBANKA_0512500	1	ribosome biogenesis protein RPF2, putative
PBANKA_0513600	1	adenosine deaminase, putative
PBANKA_0513900	1	conserved Plasmodium protein, unknown function
PBANKA_0514300	1	conserved Plasmodium protein, unknown function
PBANKA_0514800	1	calmodulin, putative
PBANKA_0515700	1	conserved Plasmodium protein, unknown function
PBANKA_0516400	1	conserved protein, unknown function
PBANKA_0518300	1	conserved Plasmodium protein, unknown function
PBANKA_0518600	1	conserved protein, unknown function
PBANKA_0520100	1	conserved Plasmodium protein, unknown function
PBANKA_0520600	1	enhancer of rudimentary homolog, putative
PBANKA_0521100	1	conserved Plasmodium protein, unknown function
PBANKA_0521500	1	conserved Plasmodium protein, unknown function
PBANKA_0521600	1	holo-[acyl-carrier-protein] synthase, putative
PBANKA_0522200	1	conserved Plasmodium protein, unknown function
PBANKA_0602400	1	major facilitator superfamily domain-containing protein, putative
PBANKA_0603300	1	sexual stage-specific protein G37
PBANKA_0604600	1	conserved protein, unknown function
PBANKA_0606100	1	tRNA dimethylallyltransferase, putative
PBANKA_0606400	1	conserved Plasmodium protein, unknown function
PBANKA_0606600	1	conserved Plasmodium protein, unknown function
PBANKA_0606900	1	amino acid transporter, putative
PBANKA_0607700	1	telomere repeat-binding zinc finger protein, putative
PBANKA_0608500	1	SNARE protein, putative
PBANKA_0608600	1	zinc finger protein, putative
PBANKA_0608900	1	general transcription factor 3C polypeptide 5, putative
PBANKA_0609000	1	conserved Plasmodium protein, unknown function
PBANKA_0609300	1	GPI mannosyltransferase 1, putative
PBANKA_0609700	1	conserved Plasmodium protein, unknown function
PBANKA_0609800	1	DNA helicase MCM8, putative
PBANKA_0610500	1	glutathione peroxidase-like thioredoxin peroxidase
PBANKA_0611300	1	conserved Plasmodium protein, unknown function
PBANKA_0611900	1	histidine triad protein, putative
PBANKA_0612400	1	conserved Plasmodium protein, unknown function
PBANKA_0612700	1	conserved Plasmodium protein, unknown function
PBANKA_0616300	1	conserved Plasmodium protein, unknown function
PBANKA_0617400	1	conserved Plasmodium protein, unknown function
PBANKA_0618000	1	conserved Plasmodium protein, unknown function
