Geneid	groups	description
PBANKA_0933700	3	mitogen-activated protein kinase 2
PBANKA_0934200	3	ubiquitin domain-containing protein DSK2, putative
PBANKA_0934700	3	conserved protein, unknown function
PBANKA_0936400	3	conserved protein, unknown function
PBANKA_0936800	3	conserved Plasmodium protein, unknown function
PBANKA_0937750	3	small nucleolar RNA snoR12
PBANKA_0937900	3	conserved Plasmodium protein, unknown function
PBANKA_0938500	3	succinyl-CoA synthetase alpha subunit, putative
PBANKA_0939300	3	conserved Plasmodium protein, unknown function
PBANKA_0940500	3	conserved Plasmodium protein, unknown function
PBANKA_0941700	3	WD repeat-containing protein WRAP73, putative
PBANKA_0942300	3	radial spoke head protein, putative
PBANKA_0942600	3	conserved Plasmodium protein, unknown function
PBANKA_1000600	3	erythrocyte membrane antigen 1
PBANKA_1000800	3	pre-mRNA splicing factor, putative
PBANKA_1005900	3	zinc finger Ran-binding domain-containing protein 2, putative
PBANKA_1009700	3	ribonuclease H2 subunit B, putative
PBANKA_1009900	3	conserved Plasmodium protein, unknown function
PBANKA_1011300	3	signal peptidase complex subunit SPC1, putative
PBANKA_1013600	3	PhIL1 interacting protein PIP2, putative
PBANKA_1016700	3	leucine-rich repeat protein
PBANKA_1022400	3	dynein light chain, putative
PBANKA_1029400	3	conserved Plasmodium protein, unknown function
PBANKA_1030100	3	actin II
PBANKA_1030600	3	p1/s1 nuclease, putative
PBANKA_1030900	3	GTP-binding protein Obg1, putative
PBANKA_1033700	3	conserved Plasmodium protein, unknown function
PBANKA_1034900	3	pre-mRNA-splicing factor 38B, putative
PBANKA_1035600	3	ATP-dependent Clp protease regulatory subunit ClpC, putative
PBANKA_1037500	3	adenylyl cyclase alpha
PBANKA_1037900	3	conserved Plasmodium protein, unknown function
PBANKA_1038400	3	selenoprotein, putative
PBANKA_1038500	3	dynein light chain, putative
PBANKA_1038700	3	tetratricopeptide repeat protein, putative
PBANKA_1038800	3	EGF domain-containing protein, putative
PBANKA_1039300	3	U2 snRNP-associated SURP motif-containing protein, putative
PBANKA_1040300	3	fam-b protein
PBANKA_1040541	3	PIR protein
PBANKA_1100351	3	PIR protein
PBANKA_1101300	3	skeleton-binding protein 1
PBANKA_1103000	3	serine/arginine-rich splicing factor 12, putative
PBANKA_1103500	3	conserved Plasmodium protein, unknown function
PBANKA_1108000	3	conserved protein, unknown function
PBANKA_1108700	3	structural maintenance of chromosomes protein 4
PBANKA_1108900	3	conserved Plasmodium protein, unknown function
